year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe,num_ppl_rca
2016,"Miscellaneous agricultural workers, including animal breeders","4520XX","Computer and Information Sciences and Support Services","11",25721.0,12807.4,604,447.708,0.392352
2016,"Probation officers & correctional treatment specialists","211092","Computer and Information Sciences and Support Services","11",59963.2,12704.7,602,362.454,0.235797
2016,"Cost estimators","131051","Computer and Information Sciences and Support Services","11",57676.7,16457.8,586,484.441,0.336428
2016,"File clerks","434071","Computer and Information Sciences and Support Services","11",13730.3,10254.1,581,431.758,0.327522
2016,"Correspondence clerks & order clerks","434XXX","Computer and Information Sciences and Support Services","11",69151.8,60188.1,573,482.727,0.553453
2016,"Special education teachers","252050","Computer and Information Sciences and Support Services","11",46419.8,5988.41,558,383.713,0.0661134
2016,"Other financial specialists","132099","Computer and Information Sciences and Support Services","11",130587.0,87745.6,558,352.106,0.522324
2016,"Machinists","514041","Computer and Information Sciences and Support Services","11",59837.5,27493.3,557,388.928,0.972616
2016,"Loan interviewers & clerks","434131","Computer and Information Sciences and Support Services","11",51639.3,12485.2,543,411.148,0.446121
2016,"Public relations & fundraising managers","112031","Computer and Information Sciences and Support Services","11",82160.8,19523.0,535,382.984,0.282379
2016,"Miscellaneous entertainment attendants & related workers","393090","Computer and Information Sciences and Support Services","11",147275.0,161921.0,529,338.401,0.395278
2016,"Food preparation workers","352021","Computer and Information Sciences and Support Services","11",7679.42,4070.51,528,495.06,0.184911
2016,"Childcare workers","399011","Computer and Information Sciences and Support Services","11",15841.5,7002.37,523,318.343,0.0900821
2016,"Tax examiners & collectors, & revenue agents","132081","Computer and Information Sciences and Support Services","11",43976.2,12143.2,517,334.695,0.521374
2016,"Biological scientists","191020","Computer and Information Sciences and Support Services","11",42916.8,24305.8,502,380.231,0.168715
2016,"Announcers","273010","Computer and Information Sciences and Support Services","11",51311.0,27587.8,497,358.212,0.736081
2016,"Massage therapists","319011","Computer and Information Sciences and Support Services","11",15763.3,7443.15,480,396.774,0.448734
2016,"Sheet metal workers","472211","Computer and Information Sciences and Support Services","11",50740.8,13908.3,474,388.105,2.68841
2016,"Emergency medical technicians & paramedics","292041","Computer and Information Sciences and Support Services","11",30875.7,10733.1,468,390.37,0.289681
2016,"Military officer special & tactical operations leaders","551010","Computer and Information Sciences and Support Services","11",79688.2,42790.2,463,397.374,0.464657
2016,"Medical records & health information technicians","292071","Computer and Information Sciences and Support Services","11",46607.0,20374.5,375,297.906,0.239634
2016,"Pipelayers, plumbers, pipefitters, & steamfitters","472150","Computer and Information Sciences and Support Services","11",50273.4,10816.7,367,272.154,0.391383
